seqno,type,city,countycode,name,address,number,localcallservice
101,連鎖型綠色商店,新北市,65000,7-11正華門市,220新北市板橋區中正路274.276號,F001665,02-27478711#3961
102,連鎖型綠色商店,新北市,65000,7-11正陽門市,241新北市三重區正義北路386.388號,F000506,02-27478711#3961
103,連鎖型綠色商店,新北市,65000,7-11正隆門市,220新北市板橋區民生路一段53號,F001176,02-27478711#3961
104,連鎖型綠色商店,新北市,65000,7-11正龍門市,241新北市三重區正義北路332號,F001363,02-27478711#3961
105,連鎖型綠色商店,新北市,65000,7-11民仁門市,247新北市蘆洲區仁愛街41號,F001557,02-27478711#3961
106,連鎖型綠色商店,新北市,65000,7-11民生廠門市,236新北市土城區民生街4號B1,F001119,02-27478711#3961
107,連鎖型綠色商店,新北市,65000,7-11民光門市,234新北市永和區中正路166號,F000998,02-27478711#3961
108,連鎖型綠色商店,新北市,65000,7-11民自門市,235新北市中和區冠穗里民享街38.38之1號,F001274,02-27478711#3961
109,連鎖型綠色商店,新北市,65000,7-11民族門市,220新北市板橋區福祿里民族路310號,F001653,02-27478711#3961
110,連鎖型綠色商店,新北市,65000,7-11民德門市,235新北市中和區民德路47.47-1號,F001184,02-27478711#3961
111,連鎖型綠色商店,新北市,65000,7-11永中門市,234新北市永和區中山路一段58號,F001320,02-27478711#3961
112,連鎖型綠色商店,新北市,65000,7-11永平門市,234新北市永和區中山路一段149-153號,F000511,02-27478711#3961
113,連鎖型綠色商店,新北市,65000,7-11永竹門市,234新北市永和區竹林路146號,F001403,02-27478711#3961
114,連鎖型綠色商店,新北市,65000,7-11永利門市,234新北市永和區永元里永元路93號,F001231,02-27478711#3961
115,連鎖型綠色商店,新北市,65000,7-11永和門市,234新北市永和區文化路7號,F001060,02-27478711#3961
116,連鎖型綠色商店,新北市,65000,7-11永振門市,235新北市中和區南華路16號,F001157,02-27478711#3961
117,連鎖型綠色商店,新北市,65000,7-11永興門市,234新北市永和區竹林路98號,F001165,02-27478711#3961
118,連鎖型綠色商店,新北市,65000,7-11永權門市,234新北市永和區民權路52.54號,F001470,02-27478711#3961
119,連鎖型綠色商店,新北市,65000,7-11白雲門市,221新北市汐止區民權街二段79號之1,F001298,02-27478711#3961
120,連鎖型綠色商店,新北市,65000,7-11石門門市,251新北市石門區中山路78號,F000975,02-27478711#3961
121,連鎖型綠色商店,新北市,65000,7-11立竹門市,251新北市淡水區民族路56號,F001055,02-27478711#3961
122,連鎖型綠色商店,新北市,65000,7-11立行門市,241新北市三重區力行路2段160號,F001017,02-27478711#3961
123,連鎖型綠色商店,新北市,65000,7-11立言門市,235新北市中和區中正路872號,F001198,02-27478711#3961
124,連鎖型綠色商店,新北市,65000,7-11立征門市,251新北市淡水區中山北路1段149巷26.28號,F001136,02-27478711#3961
125,連鎖型綠色商店,新北市,65000,7-11立金門市,236新北市土城區立德路70.72號,F000970,02-27478711#3961
126,連鎖型綠色商店,新北市,65000,7-11立德門市,235新北市中和區立德街103號,F001321,02-27478711#3961
127,連鎖型綠色商店,新北市,65000,7-11光仁門市,220新北市板橋區中山路二段273號,F001356,02-27478711#3961
128,連鎖型綠色商店,新北市,65000,7-11光員門市,236新北市土城區光明街15號,F001498,02-27478711#3961
129,連鎖型綠色商店,新北市,65000,7-11光華門市,242新北市新莊區民安西路390號,F001179,02-27478711#3961
130,連鎖型綠色商店,新北市,65000,7-11全茂門市,235新北市中和區連城路469巷9.11號,F001456,02-27478711#3961
131,連鎖型綠色商店,新北市,65000,7-11全新門市,231新北市新店區安康路2段196-1號,F000949,02-27478711#3961
132,連鎖型綠色商店,新北市,65000,7-11吉發門市,251新北市淡水區自強路275號,F001572,02-27478711#3961
133,連鎖型綠色商店,新北市,65000,7-11同仁門市,231新北市新店區民權路96號,F001626,02-27478711#3961
134,連鎖型綠色商店,新北市,65000,7-11名帥門市,221新北市汐止區樟樹一路131號1樓,F001399,02-27478711#3961
135,連鎖型綠色商店,新北市,65000,7-11合康門市,241新北市三重區永福街199及201-2號,F001315,02-27478711#3961
136,連鎖型綠色商店,新北市,65000,7-11合喬門市,238新北市樹林區三福街68號,F001309,02-27478711#3961
137,連鎖型綠色商店,新北市,65000,7-11后福門市,242新北市新莊區後港一路29號,F001565,02-27478711#3961
138,連鎖型綠色商店,新北市,65000,7-11存德門市,220新北市板橋區篤行路二段104.106號,F001204,02-27478711#3961
139,連鎖型綠色商店,新北市,65000,7-11宇陽門市,234新北市永和區永利路77號,F001404,02-27478711#3961
140,連鎖型綠色商店,新北市,65000,7-11安民門市,231新北市新店區安民路133巷9.11號,F001245,02-27478711#3961
141,連鎖型綠色商店,新北市,65000,7-11安成門市,231新北市新店區安成街35.29號,F000976,02-27478711#3961
142,連鎖型綠色商店,新北市,65000,7-11安佳門市,231新北市新店區安祥路111號,F001669,02-27478711#3961
143,連鎖型綠色商店,新北市,65000,7-11安忠門市,231新北市新店區安忠路20號,F001562,02-27478711#3961
144,連鎖型綠色商店,新北市,65000,7-11安林門市,244新北市林口區文化二路一段24.26號,F001567,02-27478711#3961
145,連鎖型綠色商店,新北市,65000,7-11安城門市,231新北市新店區安康路一段283號,F001215,02-27478711#3961
146,連鎖型綠色商店,新北市,65000,7-11安復門市,242新北市新莊區復興路1段213號,F000957,02-27478711#3961
147,連鎖型綠色商店,新北市,65000,7-11安斌門市,235新北市中和區中安街96號,F001510,02-27478711#3961
148,連鎖型綠色商店,新北市,65000,7-11安福門市,234新北市永和區福和路213號,F001142,02-27478711#3961
149,連鎖型綠色商店,新北市,65000,7-11尖山門市,239新北市鶯歌區國際二路6巷1號,F001521,02-27478711#3961
150,連鎖型綠色商店,新北市,65000,7-11成合門市,220新北市板橋區金門街40號,F001229,02-27478711#3961
151,連鎖型綠色商店,新北市,65000,7-11成洲門市,248新北市五股區成泰路三段577巷92、94號,F001306,02-27478711#3961
152,連鎖型綠色商店,新北市,65000,7-11成泰門市,248新北市五股區成泰路二段45.47號,F000566,02-27478711#3961
153,連鎖型綠色商店,新北市,65000,7-11旭昇門市,221新北市汐止區大同路三段332號,F001475,02-27478711#3961
154,連鎖型綠色商店,新北市,65000,7-11有民門市,234新北市永和區民有街26、28號,F001090,02-27478711#3961
155,連鎖型綠色商店,新北市,65000,7-11池田門市,247新北市蘆洲區民族路165號,F001222,02-27478711#3961
156,連鎖型綠色商店,新北市,65000,7-11汐止站門市,221新北市汐止區信義路1號,F001462,02-27478711#3961
157,連鎖型綠色商店,新北市,65000,7-11汐忠門市,221新北市汐止區忠孝東路282號,F000579,02-27478711#3961
158,連鎖型綠色商店,新北市,65000,7-11汐旺門市,221新北市汐止區中興里6鄰中興路105號,F000940,02-27478711#3961
159,連鎖型綠色商店,新北市,65000,7-11汐政門市,221新北市汐止區汐萬路一段222號,F000948,02-27478711#3961
160,連鎖型綠色商店,新北市,65000,7-11汐科門市,221新北市汐止區大同路二段167-1號1樓,F001460,02-27478711#3961
161,連鎖型綠色商店,新北市,65000,7-11汐福門市,221新北市汐止區福德一路243號,F000984,02-27478711#3961
162,連鎖型綠色商店,新北市,65000,7-11百利門市,241新北市三重區仁義街208號,F001366,02-27478711#3961
163,連鎖型綠色商店,新北市,65000,7-11百和門市,231新北市新店區中正路306.308號,F001509,02-27478711#3961
164,連鎖型綠色商店,新北市,65000,7-11百義門市,241新北市三重區仁義街232號,F001545,02-27478711#3961
165,連鎖型綠色商店,新北市,65000,7-11百壽門市,220新北市板橋區公館里2鄰文化路一段287號1樓,F001419,02-27478711#3961
166,連鎖型綠色商店,新北市,65000,7-11百福門市,231新北市新店區三民路77號,F001296,02-27478711#3961
167,連鎖型綠色商店,新北市,65000,7-11百豐門市,231新北市新店區安康路一段160號,F001018,02-27478711#3961
168,連鎖型綠色商店,新北市,65000,7-11竹林門市,234新北市永和區竹林路211號,F001502,02-27478711#3961
169,連鎖型綠色商店,新北市,65000,7-11竹捷門市,251新北市淡水區竹圍里民族路10號,F001217,02-27478711#3961
170,連鎖型綠色商店,新北市,65000,7-11竹圍門市,251新北市淡水區民權路109.111號,F001333,02-27478711#3961
171,連鎖型綠色商店,新北市,65000,7-11老街門市,251新北市淡水區公明街54號,F001512,02-27478711#3961
